-------------------------------------------------------------------------------
Model constraints: 78, variables: integer: 0, interval: 590, sequence: 10
Solve status: Optimal
Search status: SearchCompleted, stop cause: SearchHasNotBeenStopped
Solve time: 55.59 sec
-------------------------------------------------------------------------------
Objective values: (7,), bounds: (7,), gaps: (0,)
Duty_0: (start=710, end=1284, size=574, length=574)
Duty_1: absent
Trip_21 | Duty_06: absent
Trip_21 | Duty_07: absent
Trip_21 | Duty_08: absent
Trip_21 | Duty_09: absent
Trip_22 | Duty_00: absent
Trip_22 | Duty_01: absent
Trip_22 | Duty_02: absent
Trip_22 | Duty_03: absent
Trip_22 | Duty_04: (start=695, end=739, size=44, length=44)
Trip_22 | Duty_05: absent
Trip_22 | Duty_06: absent
Trip_22 | Duty_07: absent
Trip_22 | Duty_08: absent
Trip_22 | Duty_09: absent
Trip_23 | Duty_00: (start=710, end=754, size=44, length=44)
Trip_23 | Duty_01: absent
Trip_23 | Duty_02: absent
Trip_23 | Duty_03: absent
Trip_23 | Duty_04: absent
Trip_23 | Duty_05: absent
Trip_23 | Duty_06: absent
Trip_23 | Duty_07: absent
Trip_23 | Duty_08: absent
Trip_23 | Duty_09: absent
Trip_24 | Duty_00: absent
Trip_24 | Duty_01: absent
Trip_24 | Duty_02: absent
Trip_24 | Duty_03: absent
Trip_24 | Duty_04: absent
Trip_24 | Duty_05: absent
Trip_24 | Duty_06: absent
Trip_24 | Duty_07: absent
Trip_24 | Duty_08: absent
Trip_24 | Duty_09: (start=725, end=769, size=44, length=44)
Trip_25 | Duty_00: absent
Trip_25 | Duty_01: absent
Trip_25 | Duty_02: (start=745, end=789, size=44, length=44)
Trip_25 | Duty_03: absent
Trip_25 | Duty_04: absent
Trip_25 | Duty_05: absent
Trip_25 | Duty_06: absent
Trip_25 | Duty_07: absent
Trip_25 | Duty_08: absent
Trip_25 | Duty_09: absent
Trip_26 | Duty_00: absent
Trip_26 | Duty_01: absent
Trip_26 | Duty_02: absent
Trip_26 | Duty_03: absent
Trip_26 | Duty_04: absent
Trip_26 | Duty_05: absent
Trip_26 | Duty_06: (start=760, end=804, size=44, length=44)
Trip_26 | Duty_07: absent
Trip_26 | Duty_08: absent
Trip_26 | Duty_09: absent
Trip_27 | Duty_00: absent
Trip_27 | Duty_01: absent
Trip_27 | Duty_02: absent
Trip_27 | Duty_03: absent
Trip_27 | Duty_04: (start=775, end=819, size=44, length=44)
Trip_27 | Duty_05: absent
Trip_27 | Duty_06: absent
Trip_27 | Duty_07: absent
Trip_27 | Duty_08: absent
Trip_27 | Duty_09: absent
Trip_28 | Duty_00: (start=795, end=839, size=44, length=44)
Trip_28 | Duty_01: absent
Trip_28 | Duty_02: absent
Trip_28 | Duty_03: absent
Trip_28 | Duty_04: absent
Trip_28 | Duty_05: absent
Trip_28 | Duty_06: absent
Trip_28 | Duty_07: absent
Trip_28 | Duty_08: absent
Trip_28 | Duty_09: absent
Trip_29 | Duty_00: absent
Trip_29 | Duty_01: absent
Trip_29 | Duty_02: (start=810, end=854, size=44, length=44)
Trip_29 | Duty_03: absent
Trip_29 | Duty_04: absent
Trip_29 | Duty_05: absent
Trip_29 | Duty_06: absent
Trip_29 | Duty_07: absent
Trip_29 | Duty_08: absent
Trip_29 | Duty_09: absent
Trip_30 | Duty_00: absent
Trip_30 | Duty_01: absent
Trip_30 | Duty_02: absent
Trip_30 | Duty_03: absent
Trip_30 | Duty_04: absent
Trip_30 | Duty_05: absent
Trip_30 | Duty_06: (start=825, end=869, size=44, length=44)
Trip_30 | Duty_07: absent
Trip_30 | Duty_08: absent
Trip_30 | Duty_09: absent
Trip_31 | Duty_00: absent
Trip_31 | Duty_01: absent
Trip_31 | Duty_02: absent
Trip_31 | Duty_03: absent
Trip_31 | Duty_04: absent
Trip_31 | Duty_05: (start=845, end=893, size=48, length=48)
Trip_31 | Duty_06: absent
Trip_31 | Duty_07: absent
Trip_31 | Duty_08: absent
Trip_31 | Duty_09: absent
Trip_32 | Duty_00: (start=860, end=908, size=48, length=48)
Trip_32 | Duty_01: absent
Trip_32 | Duty_02: absent
Trip_32 | Duty_03: absent
Trip_32 | Duty_04: absent
Trip_32 | Duty_05: absent
Trip_32 | Duty_06: absent
Trip_32 | Duty_07: absent
Trip_32 | Duty_08: absent
Trip_32 | Duty_09: absent
Trip_33 | Duty_00: absent
Trip_33 | Duty_01: absent
Trip_33 | Duty_02: absent
Trip_33 | Duty_03: absent
Trip_33 | Duty_04: absent
Trip_33 | Duty_05: absent
Trip_33 | Duty_06: (start=875, end=923, size=48, length=48)
Trip_33 | Duty_07: absent
Trip_33 | Duty_08: absent
Trip_33 | Duty_09: absent
